entry,en,fr
gipuzcoan,Gipuzcoan,Gipuzcoan
mondego,Mondego,Mondego
normand-breton-gulf,Normand-Breton Gulf,Golfe normand-breton
tamar-taff-frome,Tamar-Taff-Frome,Tamar-Taff-Frome
loire,Loire,Loire
ulla,Ulla,Ulla
waterford-harbour,Waterford Harbour,Port de Waterford
minho,Minho,Minho
gironde-garonne-dordogne,Gironde-Garonne-Dordogne,Gironde-Garonne-Dordogne
cultural-services,Cultural services,Services culturels
provisionning-services,Provisionning services,Services d’approvisionnement
regulating-services,Regulating services,Services de régulation
recreation-sport-fishing-(incl.-competition),Recreation sport fishing (incl. competition),Pêche de loisir (y compris compétition)
traditional-know-how-(fishing-techniques-used)-related-to-the-commercial-fisheries,Traditional know-how (fishing techniques used) related to the commercial fisheries,Savoir-faire traditionnels (technique de pêche) associés aux pêcheries professionnelles
food-provision-from-commercial-fisheries,Food provision from commercial fisheries,Approvisionnement en nourriture par les pêcheries professionnelles
all-existing-subcategories,ALL EXISTING SUBCATEGORIES,TOUTES LES SOUS-CATEGORIES EXISTANTES
traditional-know-how-related-to-the-recreational-fisheries,Traditional know-how related to the recreational fisheries,Savoir-faire traditionnels (technique de pêche) associés aux pêcheries de loisir
redistribution-of-nutrients---nutrients-transportation,Redistribution of nutrients - nutrients transportation,Échanges et transports de nutriments
natural-heritage-and-natural-diversity---the-existence-value,Natural heritage and natural diversity - the existence value,Patrimoine naturel et biodiversité (valeur d’existence)
option-value-associated-to-the-unknown-production-of-molecules,Option value associated to the unknown production of molecules,Valeur d’option associée à la production inconnue de molécules
the-potential-for-environmental-education-and-research,The potential for environmental education and research,Possibilités pour la recherche et l’éducation à l’environnement
"gastronomy-around-species-including-emotional-brotherhood-(festival,-event,-and-folklore)","Gastronomy around species including emotional brotherhood (festival, event, and folklore)","Gastronomie autour des espèces y compris confrérie (festival, manifestation et folklore)"
